,Iteration,Exploitability,KL Divergence,Regret,Temperature,Stepsize,Magnet Stepsize,Objective
0,2,0.21115559009661944,1,0.062402562627376,0.7071067811865475,0.7071067811865475,0,standard
1,3,0.19326558565052862,1,0.03797763114434292,0.5773502691896258,0.5773502691896258,0,standard
2,5,0.16759682170781062,1,0.02268136694433389,0.4472135954999579,0.4472135954999579,0,standard
3,9,0.1261402158981898,1,0.012698646795095197,0.3333333333333333,0.3333333333333333,0,standard
4,17,0.08494561896627889,1,0.010121561023603586,0.24253562503633297,0.24253562503633297,0,standard
5,33,0.05194667173046397,1,0.006885954164945418,0.17407765595569785,0.17407765595569785,0,standard
6,65,0.03215885911736133,1,0.001991914380286131,0.12403473458920847,0.12403473458920847,0,standard
7,100,0.02912866294649863,1,0.0013846455287049933,0.1,0.1,0,standard
