,Iteration,Exploitability,KL Divergence,Regret,Temperature,Stepsize,Magnet Stepsize,Objective
0,2,0.42090167251214994,1,0.004346160054690058,3.5355339059327373,0.7071067811865475,0,standard
1,3,0.3853624179046772,1,0.0024635766802035253,2.886751345948129,0.5773502691896258,0,standard
2,5,0.3330865376422454,1,0.0014684358604928653,2.23606797749979,0.4472135954999579,0,standard
3,9,0.26342252232484065,1,0.0009575371133162258,1.6666666666666667,0.3333333333333333,0,standard
4,17,0.18372118087738565,1,0.0006330642747918463,1.212678125181665,0.24253562503633297,0,standard
5,33,0.11209222593259982,1,0.0003844307490962937,0.8703882797784892,0.17407765595569785,0,standard
6,65,0.061582574560094194,1,0.00020413355561499412,0.6201736729460423,0.12403473458920847,0,standard
7,100,0.04134864842485464,1,0.0001308017445514924,0.5,0.1,0,standard
