,Iteration,Exploitability,KL Divergence,Regret,Temperature,Stepsize,Magnet Stepsize,Objective
0,2,0.46518336414240125,1,0.05580765467235027,1,0.1,0.05,standard
1,3,0.42223060729760375,1,0.04625650981214299,1,0.1,0.05,standard
2,5,0.34898608242739504,1,0.03229909997495212,1,0.1,0.05,standard
3,9,0.24440409207971392,1,0.016989287663361243,1,0.1,0.05,standard
4,17,0.13624209482314997,1,0.0061889177431269215,1,0.1,0.05,standard
5,33,0.05870666514406042,1,0.0016830491467814065,1,0.1,0.05,standard
6,65,0.020162001531992102,1,0.0003600906390567888,1,0.1,0.05,standard
7,100,0.008654579138918983,1,0.00011278101512587479,1,0.1,0.05,standard
