,episode,exploitability
0,200,0.11053063828081575
1,400,0.1071208726209146
2,600,0.10598050173894835
3,800,0.10540960445596684
4,1000,0.10506683795539559
5,1200,0.10483823182137592
6,1400,0.10467489510463587
7,1600,0.10455236706165993
8,1800,0.10445705235415925
9,2000,0.1043807910614512
10,2200,0.1043183891586042
11,2400,0.1042663832412376
12,2600,0.10422237515814453
13,2800,0.10418465169955565
14,3000,0.10415195635940583
15,3200,0.10412334666001224
16,3400,0.10409810181794221
17,3600,0.10407566117937919
18,3800,0.10405558209183596
19,4000,0.10403751041119502
20,4200,0.10402115943330464
21,4400,0.10400629457019667
22,4600,0.10399272202294216
23,4800,0.1039802802857066
24,5000,0.10396883368842172
25,5200,0.10395826742932496
26,5400,0.10394848371117227
27,5600,0.10393939870526042
28,5800,0.10393094014347282
29,6000,0.1039230453918363
30,6200,0.10391565989687673
31,6400,0.10390873592323951
32,6600,0.10390223152079686
33,6800,0.10389610967400426
34,7000,0.1038903375970614
35,7200,0.10388488614652835
36,7400,0.10387972932918155
37,7600,0.10387484388756668
38,7800,0.1038702089493034
39,8000,0.10386580572898907
40,8200,0.10386161727371862
41,8400,0.10385762824495795
42,8600,0.1038538247308474
43,8800,0.10385019408409807
44,9000,0.10384672478149937
45,9200,0.10384340630175032
46,9400,0.10384022901888457
47,9600,0.10383718410901613
48,9800,0.10383426346850258
49,10000,0.10383145964192839
50,10200,0.10382876575855843
51,10400,0.10382617547612574
52,10600,0.10382368293097968
53,10800,0.10382128269377339
54,11000,0.1038189697299862
55,11200,0.10381673936467359
56,11400,0.10381458725092874
57,11600,0.10381250934160557
58,11800,0.10381050186391783
59,12000,0.10380856129657695
60,12200,0.10380668434918025
61,12400,0.10380486794359123
62,12600,0.1038031091970956
63,12800,0.10380140540713448
64,13000,0.10379975403744734
65,13200,0.10379815270547513
66,13400,0.10379659917089029
67,13600,0.10379509132513984
68,13800,0.10379362718189628
69,14000,0.10379220486832894
70,14200,0.10379082261711112
71,14400,0.10378947875909428
72,14600,0.10378817171658417
73,14800,0.10378689999716048
74,15000,0.1037856621879942
75,15200,0.10378445695061048
76,15400,0.10378328301606107
77,15600,0.10378213918046822
78,15800,0.10378102430090588
79,16000,0.10377993729159068
80,16200,0.10377887712035527
81,16400,0.10377784280537813
82,16600,0.10377683341215227
83,16800,0.10377584805066803
84,17000,0.1037748858727961
85,17200,0.10377394606985288
86,17400,0.1037730278703334
87,17600,0.10377213053779918
88,17800,0.10377125336890833
89,18000,0.10377039569157667
90,18200,0.10376955686326059
91,18400,0.10376873626935157
92,18600,0.1037679333216747
93,18800,0.10376714745708215
94,19000,0.10376637813613684
95,19200,0.1037656248418764
96,19400,0.10376488707865589
97,19600,0.1037641643710594
98,19800,0.10376345626287908
99,20000,0.10376276231615425
100,20200,0.10376208211026852
101,20400,0.1037614152410993
102,20600,0.10376076132021747
103,20800,0.10376011997413231
104,21000,0.10375949084358146
105,21200,0.10375887358285849
106,21400,0.10375826785917988
107,21600,0.10375767335208713
108,21800,0.10375708975288098
109,22000,0.10375651676408676
110,22200,0.1037559540989497
111,22400,0.10375540148095597
112,22600,0.10375485864337891
113,22800,0.10375432532885057
114,23000,0.10375380128895428
115,23200,0.10375328628383948
116,23400,0.1037527800818547
117,23600,0.10375228245920107
118,23800,0.1037517931996021
119,24000,0.10375131209398994
120,24200,0.1037508389402082
121,24400,0.10375037354272801
122,24600,0.10374991571237885
123,24800,0.10374946526609227
124,25000,0.10374902202665817
125,25200,0.10374858582249138
126,25400,0.10374815648741076
127,25600,0.10374773386042885
128,25800,0.10374731778554941
129,26000,0.10374690811157558
130,26200,0.10374650469192756
131,26400,0.1037461073844671
132,26600,0.10374571605133015
133,26800,0.10374533055876828
134,27000,0.10374495077699591
135,27200,0.10374457658004432
136,27400,0.10374420784562255
137,27600,0.1037438444549843
138,27800,0.10374348629280036
139,28000,0.10374313324703624
140,28200,0.10374278520883587
141,28400,0.10374244207240946
142,28600,0.10374210373492604
143,28800,0.10374177009641114
144,29000,0.1037414410596478
145,29200,0.103741116530083
146,29400,0.10374079641573622
147,29600,0.10374048062711294
148,29800,0.10374016907712083
149,30000,0.10373986168099014
150,30200,0.10373955835619655
151,30400,0.10373925902238729
152,30600,0.1037389636013106
153,30800,0.10373867201674658
154,31000,0.10373838419444281
155,31200,0.10373810006205014
156,31400,0.10373781954906289
157,31600,0.10373754258676043
158,31800,0.10373726910815104
159,32000,0.10373699904791739
160,32200,0.10373673234236469
161,32400,0.10373646892937166
162,32600,0.10373620874834066
163,32800,0.10373595174015238
164,33000,0.10373569784712044
165,33200,0.10373544701294854
166,33400,0.10373519918268875
167,33600,0.10373495430270147
168,33800,0.10373471232061643
169,34000,0.10373447318529569
170,34200,0.10373423684679758
171,34400,0.1037340032563416
172,34600,0.1037337723662749
173,34800,0.10373354413004071
174,35000,0.10373331850214604
175,35200,0.10373309543813192
176,35400,0.103732874894544
177,35600,0.10373265682890423
178,35800,0.103732441199684
179,36000,0.10373222796627746
180,36200,0.103732017088976
181,36400,0.10373180852894401
182,36600,0.10373160224819411
183,36800,0.10373139820956556
184,37000,0.10373119637670036
185,37200,0.10373099671402261
186,37400,0.10373079918671765
187,37600,0.103730603760711
188,37800,0.10373041040264983
189,38000,0.10373021907988303
190,38200,0.10373002976044335
191,38400,0.10372984241303002
192,38600,0.10372965700699036
193,38800,0.10372947351230394
194,39000,0.1037292918995659
195,39200,0.10372911213997182
196,39400,0.10372893420530196
197,39600,0.1037287580679066
198,39800,0.1037285837006918
199,40000,0.10372841107710581
