,Iteration,Exploitability
0,200,0.003329603136321496
1,400,0.0019268586789625564
2,600,0.0012908845825877202
3,800,0.0008824838461048146
4,1000,0.0009376166469929614
5,1200,0.0005570527729515939
6,1400,0.0008150253806980534
7,1600,0.0007165912245105932
8,1800,0.0005699628994132455
9,2000,0.0005392433667742169
10,2200,0.0005319255152697044
11,2400,0.000491010268208053
12,2600,0.0003453220310495053
13,2800,0.0003612743899707449
14,3000,0.00041863067048555913
15,3200,0.00028245379373273427
16,3400,0.00032650270857273456
17,3600,0.00029279444288682344
18,3800,0.00032497658050614775
19,4000,0.00026533187941646386
20,4200,0.0002745236492865677
21,4400,0.00018922866510043268
22,4600,0.0002945675605923459
23,4800,0.00025520901539338725
24,5000,0.00017978487542580357
25,5200,0.00024598065141162584
26,5400,0.00022948097040476068
27,5600,0.00020158917769549922
28,5800,0.00014634449390052429
29,6000,0.00020343227407901288
30,6200,0.0002199926943933228
31,6400,0.00018873779024614068
32,6600,0.00018836595644616816
33,6800,0.00017852733827167233
34,7000,0.00013323658370759106
35,7200,0.00013383928237015175
36,7400,0.00013171837967290712
37,7600,0.00015087514911660271
38,7800,0.00014973580904872885
39,8000,0.00016062303174463333
40,8200,0.00015498935125271562
41,8400,0.0001584680536507177
42,8600,0.00014696958401042015
43,8800,0.00014807263861985054
44,9000,0.00012945559329660683
45,9200,0.00012653187388311782
46,9400,0.00010686875514101524
47,9600,0.00010517268177881456
48,9800,0.00010053278707286561
49,10000,0.00011332445786851886
50,10200,0.00013267819749537835
51,10400,0.00012300568751047458
52,10600,0.00012644423076133005
53,10800,0.0001364732334934171
54,11000,0.0001270842897042046
55,11200,9.600363350834029e-05
56,11400,8.843801593566569e-05
57,11600,0.00011567171031279244
58,11800,0.00010954197198756455
59,12000,0.00012157569849091665
60,12200,0.00010723808846965777
61,12400,8.6777794034959e-05
62,12600,0.00010135510963021899
63,12800,0.00010156381013878835
64,13000,0.00011463810028769506
65,13200,9.029001455718166e-05
66,13400,8.083058002039678e-05
67,13600,0.00010448088958306401
68,13800,0.0001108895377179564
69,14000,9.30446609110347e-05
70,14200,7.681871809178675e-05
71,14400,9.08530373917027e-05
72,14600,0.00010280177196669849
73,14800,7.292084152543676e-05
74,15000,8.702177604261174e-05
75,15200,9.72690378612251e-05
76,15400,8.410938635636245e-05
77,15600,7.856864412958409e-05
78,15800,9.210456387717669e-05
79,16000,8.895723612886708e-05
80,16200,7.234407395848019e-05
81,16400,8.795523436030961e-05
82,16600,8.717820403333909e-05
83,16800,7.139319628984842e-05
84,17000,8.737370133279909e-05
85,17200,8.064797776982657e-05
86,17400,7.575686980160201e-05
87,17600,8.902108822547716e-05
88,17800,7.026701587861672e-05
89,18000,8.051954236229508e-05
90,18200,8.599444479909235e-05
91,18400,5.941513110613306e-05
92,18600,7.604998161755971e-05
93,18800,7.051650703035484e-05
94,19000,6.933297895025947e-05
95,19200,8.058852391346072e-05
96,19400,5.4741391392748584e-05
97,19600,7.156036135477772e-05
98,19800,6.776233918692753e-05
99,20000,7.213354482252243e-05
100,20200,7.84546482273385e-05
101,20400,6.167580562077557e-05
102,20600,7.718309385618127e-05
103,20800,5.3684853430213675e-05
104,21000,6.693269975741045e-05
105,21200,5.990570984154564e-05
106,21400,6.719010475253473e-05
107,21600,6.926715991315002e-05
108,21800,6.677109379385482e-05
109,22000,7.11805491825368e-05
110,22200,5.704493506547559e-05
111,22400,7.102430560432249e-05
112,22600,5.1377508464373056e-05
113,22800,7.161800136681884e-05
114,23000,5.080310126837073e-05
115,23200,6.813171591862899e-05
116,23400,4.706306672844218e-05
117,23600,6.531286334993114e-05
118,23800,5.0621432885117335e-05
119,24000,6.693810641811293e-05
120,24200,4.7248395145388367e-05
121,24400,6.23813264494788e-05
122,24600,4.799124203605509e-05
123,24800,6.605634173276198e-05
124,25000,4.6050193405200446e-05
125,25200,6.217979318548505e-05
126,25400,4.524062933655704e-05
127,25600,6.558730370037624e-05
128,25800,4.844369494494405e-05
129,26000,6.217782493000978e-05
130,26200,5.1825687851919655e-05
131,26400,6.15306547480654e-05
132,26600,5.4232947008070465e-05
133,26800,5.549249359865227e-05
134,27000,5.679965774002538e-05
135,27200,4.9857261244595774e-05
136,27400,5.353608030678192e-05
137,27600,4.439468496103549e-05
138,27800,6.043633347044275e-05
139,28000,4.257923163139554e-05
140,28200,5.8953458179855645e-05
141,28400,5.252755234924633e-05
142,28600,5.180708359539543e-05
143,28800,5.068835899091351e-05
144,29000,4.605281758723878e-05
145,29200,5.518773554497036e-05
146,29400,3.926310881408046e-05
147,29600,5.732084294396422e-05
148,29800,4.9198319958809744e-05
149,30000,4.8366643982944435e-05
150,30200,5.190755487097243e-05
151,30400,3.914956619446852e-05
152,30600,5.469655501394444e-05
153,30800,4.759097762391251e-05
154,31000,4.785894713801864e-05
155,31200,4.8291864985422484e-05
156,31400,4.0047350150229644e-05
157,31600,5.226597041846359e-05
158,31800,4.66197238447319e-05
159,32000,4.5970496156566565e-05
160,32200,4.726762224949166e-05
161,32400,3.882296777898975e-05
162,32600,5.087731468403356e-05
163,32800,4.746003357944395e-05
164,33000,4.106638025458409e-05
165,33200,4.921311883065993e-05
166,33400,4.176570953851044e-05
167,33600,4.601859590011581e-05
168,33800,4.638613706134387e-05
169,34000,3.540382519431895e-05
170,34200,5.005411394964909e-05
171,34400,4.574990662115086e-05
172,34600,3.719213506420127e-05
173,34800,5.058330430451896e-05
174,35000,4.128280692278219e-05
175,35200,4.16052189510796e-05
176,35400,4.678878437264222e-05
177,35600,3.969614274809685e-05
178,35800,4.2180864893826e-05
179,36000,4.473892699394244e-05
180,36200,3.7734222579993704e-05
181,36400,4.30881063120947e-05
182,36600,4.520971531155049e-05
183,36800,3.373777581341941e-05
184,37000,4.451809034830556e-05
185,37200,4.155842807918031e-05
186,37400,3.5376331904646285e-05
187,37600,4.1730055998556725e-05
188,37800,4.346655490444773e-05
189,38000,3.368527960576073e-05
190,38200,4.227536225734352e-05
191,38400,4.210153466566169e-05
192,38600,3.603514376435135e-05
193,38800,3.888202809773644e-05
194,39000,4.37545181037613e-05
195,39200,3.6668508982012904e-05
196,39400,3.767711950120045e-05
197,39600,4.338335049788866e-05
198,39800,3.943842458775659e-05
199,40000,3.324362580092721e-05
