,Iteration,Exploitability
0,2,0.26388888888888884
1,4,0.10014430014430015
2,6,0.0504587006585685
3,8,0.027794111052289877
4,10,0.032687090668344826
5,12,0.019660333904406857
6,14,0.017230440608545783
7,16,0.009371620356748822
8,18,0.012278635793780357
9,20,0.01010897736639546
10,22,0.00830189210404525
11,24,0.00588472555875405
12,26,0.004248351747594248
13,28,0.0065874982854277064
14,30,0.005357787593172708
15,32,0.00427820583133906
16,34,0.0033827505776845845
17,36,0.003379002086386751
18,38,0.004187497343361046
19,40,0.003845147947187988
