,Iteration,Exploitability
0,2,0.4577556486825962
1,4,0.4571780628352325
2,6,0.45660057906199003
3,8,0.4560232006322289
4,10,0.4554459308138026
5,12,0.4548687728729404
6,14,0.4542917300741296
7,16,0.45371480567999556
8,18,0.453138002951184
9,20,0.45256132514624103
10,22,0.4519847755214943
11,24,0.4514083573309334
12,26,0.4508320738260897
13,28,0.45025592825591726
14,30,0.44967992386667177
15,32,0.44910406390179086
16,34,0.4485283516017735
17,36,0.44795279020405987
18,38,0.44737738294290996
19,40,0.44680213304928357
