,Iteration,Exploitability
0,2,0.4560777461892372
1,4,0.4538328521979603
2,6,0.45159877605507426
3,8,0.44937563730983804
4,10,0.44716355037340827
5,12,0.44496262453301594
6,14,0.4427729639719411
7,16,0.44059466779510004
8,18,0.4384278300600554
9,20,0.4362725398132475
10,22,0.43412888113123754
11,24,0.4319969331667479
12,26,0.42987677019927795
13,28,0.42776846169006943
14,30,0.4256720723411914
15,32,0.4235876621585142
16,34,0.42151528651833503
17,36,0.419454996237425
18,38,0.4174068376462581
19,40,0.41537085266519136
